Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
6123;"FUSTERIA EBENISTERIA ART SANTA COLOMA S.L.                                                          ";260,88;3;16/05/2025;"Anna Maria Mateo    ";04/04/2025;"GESTIO DE COBRO"
100340;"GOVERN D'ANDORRA                                                                                    ";14,62;1;31/07/2025;"tpadmin1            ";05/01/2024;"TRANSFE REBUDA"
283312;"DB SCHENKER MADRID                                                                                  ";446,14;4;31/07/2025;;;
284895;"ARTDECO,S.L.U.                                                                                      ";19,12;1;31/07/2025;"Anna Maria Mateo    ";21/01/2022;"gestio de cobro"
283514;"FRAN REPELIN                                                                                        ";43,89;2;31/07/2025;;;
287639;"LUZLU NAILS                                                                                         ";120,78;2;31/07/2025;"Joana Zamora        ";07/08/2025;"Retorn rebut"
282160;"D-PACKET - DULCET                                                                                   ";11,68;1;31/07/2025;;;
284176;"NUX IBERIA LOGISTICS, S.L.                                                                          ";416,28;1;18/03/2024;"Anna Maria Mateo    ";06/11/2024;"gestio de cobro"
286950;"GONZALO J. SANFIZ SANCHO                                                                            ";239,50;1;10/04/2024;"Anna Maria Mateo    ";06/11/2024;"GESTIO DE COBRO"
281081;"MERITXELL AMADOR I CHANTAL TESI,S.L. (LITTLE BLACK                                                  ";125,34;1;24/07/2024;"Carles Porta Miró   ";25/01/2024;"GESTIONS COBRO"
100800;"CBL ZF                                                                                              ";-1299,89;2;05/07/2025;"Paula Alvariza      ";25/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 108,16 EUR"
285813;"FREDIMAQ                                                                                            ";57,32;1;16/09/2024;"Anna Maria Mateo    ";04/04/2024;"GESTIO DE COBRO"
1333;"QUARS MEGASTORE-JAMO                                                                                ";32,92;2;30/01/2025;"Anna Maria Mateo    ";19/08/2025;"GESTIO DE COBRO"
283994;"GSI SEGURETAT SLU                                                                                   ";63,73;2;25/07/2025;"Anna Maria Mateo    ";10/12/2024;"GESTIO DE COBRO"
286573;"HOTEL SOLDEU MAISTRE                                                                                ";67,84;1;08/01/2025;;;
5117;"APARTHOTEL SHUSSKI                                                                                  ";88,37;1;21/03/2025;"Anna Maria Mateo    ";19/08/2025;"gestio de cobro"
188528;"IMPEX IBERICA DEL AUTOMOVIL SA                                                                      ";-111,95;2;25/03/2025;;;
4011;"MENTA SEGURETAT,S.A.U.                                                                              ";-31,73;3;30/03/2025;"Anna Maria Mateo    ";22/08/2025;"gestio de cobro"
1376;"RAMONEDA / NUEVA AGECO                                                                              ";43,83;1;06/05/2025;"Paula Alvariza      ";21/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 2973,52 EUR"
286466;"MECAPLUS, S.L.                                                                                      ";443,41;2;27/06/2025;;;
